sample,fastq_1,fastq_2,strandedness
Oxy_SNI,./SRR_data_fetch/fastq/SRX19144486_SRR23195516_1.fastq.gz,./SRR_data_fetch/fastq/SRX19144486_SRR23195516_2.fastq.gz,auto
Oxy_Sham,./SRR_data_fetch/fastq/SRX19144488_SRR23195511_1.fastq.gz,./SRR_data_fetch/fastq/SRX19144488_SRR23195511_2.fastq.gz,auto
